category,brand,asin,revenue,units,bsr
Rosemary,TNW-THE NATURAL WASH,B07YQS1THX,268992,1401,2517
Rosemary,INTIMIFY,B0CHK43VHD,284172,1428,1593
Oats,Quaker,B00QPS8BAW,2142988,11972,13
Oats,Saffola,B07Q968G9Q,2207230,11617,26
Oats,True Elements,B07T3RB539,2927509,9791,81
Oats,DISANO,B07WK74W7T,1280420,8770,135
Oats,Saffola,B07D5FG9R5,1141296,6448,162
Oats,Kellogg's,B0B15HXLHQ,811152,6192,210
Oats,NutriOrganics,B08HVFY12K,1062262,5338,267
Oats,MuscleBlaze,B0B725KW8N,3609738,5562,285
Oats,Quaker,B00O7XQPN2,533882,6758,291
Oats,True Elements,B07SBMKVRV,1716880,3902,370
Oats,NOURISH YOU,B0177MA6N4,840742,5222,405
Oats,Mill̩: A Supergrain Co.,B0CKSYC6YQ,966264,3097,411
Oats,Bagrry's,B00U8ODRK8,1683495,8055,216
Oats,Manna,B07CVXGQN4,2704804.85,4387,425
Oats,Saffola,B07D5D9Q21,681981,3853,438
Oats,Yogabar,B09BZDVT4Q,2692550,5495,504
Oats,True Elements,B07XV6PBHF,1446585,2415,598
Oats,Kellogg's,B07QWY23DF,1004710,3241,610
Oats,Yogabar,B0914XMQJ6,849800,3035,561
Oats,Amazon Brand - Solimo,B0949CWPYK,683336,2984,651
Oats,True Elements,B01NCRLSB1,345625,1975,850
Oats,True Elements,B01LEMUGFG,918840,2356,862
Oats,Vedaka,B0BWHS95V9,172320,2154,925
Oats,Mill̩: A Supergrain Co.,B0B7S8FXW5,227520,2370,931
Oats,JIWA healthy by nature,B087B5N5ZY,670680,1863,997
Oats,Bagrry's,B0CG1VNSNS,686953,2377,1035
Oats,Saffola,B0CNX8GQ1J,367268,1964,1046
Oats,Millet House,B08P7TBFLZ,375245.25,1549,1105
Oats,True Elements,B07VC4897H,1141690,2134,1135
Oats,Vedaka,B0BWHT54CG,233490,1810,1229
Oats,True Elements,B082F553VV,450912,671,1240
Oats,True Elements,B07RJWVQXL,578200,1225,1287
Oats,Vedaka,B07HTTSX5G,505765,7781,204
Oats,Sunfeast Farmlite,B0BTPSPP2K,60120,1336,1398
Oats,Manna,B0BHX49VF3,1172324.7,1074,1466
Oats,Manna,B092MKBQ2X,325867,1423,1501
Oats,MILTOP,B0BQF65K52,215622,1089,1521
Oats,Vedaka,B0BWHVN3NP,284350,1210,1537
Oats,Saffola,B0CNX8QFXM,241580,1285,1605
Oats,India Gate,B07DD53533,230625,1025,1622
Oats,Yogabar,B09N3CF39D,724284,1116,1625
Oats,Mill̩: A Supergrain Co.,B0B8J3VRQD,186110,1006,1651
Oats,True Elements,B08MF7X3V9,1065864,1068,1690
Oats,Manna,B092MLTRNL,292894.5,1290,1753
Oats,Yogabar,B08R7BCV1V,96327,693,1851
Oats,Manna,B0BC3NZ9LH,427340,929,1579
Oats,True Elements,B01IHYUFKU,426904,1462,1871
Oats,Vedaka,B0BWHSNCX4,204085,833,1962
Oats,Saffola,B0CNX7RZ5C,172040,920,1990
Oats,MuscleBlaze,B09N1QFF9H,226875,825,2074
Oats,Manna,B09LYPK8L7,178007.2,784,2086
Oats,Pro Nature,B079H9165M,35904,528,2096
Oats,Saffola,B00FYWZE96,10435.32,738,2115
Oats,DISANO,B09PV4Y6DP,164241,869,2153
Oats,ORGANIC INDIA,B00Q4TBM7G,200200,715,2190
Oats,True Elements,B01LN5RJD6,214200,680,2207
Oats,JIWA healthy by nature,B087BMT92R,263465,667,2233
Oats,JEENI,B09NLZPZHR,302940,765,2238
Oats,True Elements,B01F7ECW6I,114080,713,2250
Oats,True Elements,B0C43JR1PH,491700,745,2299
Oats,HDC Siridhanya,B09FKCG4QD,893997.5,725,2485
Oats,Vedaka,B0BWHSVGLL,111690,510,2519
Oats,Manna,B07N2NMP3N,253175,533,2557
Oats,nutriorg,B07J9JFYY6,169946,854,2404
Oats,NOURISH YOU,B0CT8YCRZX,163520,584,2612
Oats,More Choice,B08H3J9GQ1,0,21,2656
Oats,Manna,B07CVXB6XS,277125,739,2680
Oats,THE MILLET COMPANY,B08J7DN5T3,481140,594,2772
