word,brand,frequency,analysis
fast,HUL Pureit,16,Positive
filter,AO Smith,16,Positive
filter,BRITA,16,Negative
getting,Aquaguard,16,Positive
given,Aquaguard,16,Negative
got,Aquaguard,16,Positive
got,Livpure,16,Positive
great,Kinsco,16,Positive
happy,HUL Pureit,16,Positive
happy,Kinsco,16,Positive
installation,Havells,16,Negative
installation,KENT,16,Neutral
installed,AQUA D PURE,16,Positive
installed,KENT,16,Negative
issue,Livpure,16,Negative
like,AQUA D PURE,16,Positive
loaded,KENT,16,Positive
loaded,Livpure,16,Positive
machine,KENT,16,Positive
maintenance,Aquaguard,16,Negative
media,KENT,16,Positive
model,Livpure,16,Positive
month,Livpure,16,Negative
months,AO Smith,16,Positive
new,KENT,16,Positive
one,Havells,16,Negative
period,Aquaguard,16,Negative
plastic,RAMA,16,Positive
provided,Aquaguard,16,Positive
purchase,KENT,16,Positive
purifier,Livpure,16,Negative
quality,AquaDart,16,Positive
request,Livpure,16,Negative
service,KENT,16,Neutral
team,HUL Pureit,16,Positive
two,KENT,16,Positive
use,AO Smith,16,Positive
useless,Aquaguard,16,Negative
using,PROVEN,16,Positive
visited,Aquaguard,16,Negative
warranty,Livpure,16,Negative
water,AQUAULTRA,16,Positive
well,Livpure,16,Positive
within,HUL Pureit,16,Positive
work,KENT,16,Negative
worst,HUL Pureit,16,Negative
worth,KENT,16,Positive
,Kinsco,15,Positive
,Livpure,15,Negative
2,Aquaguard,15,Positive
3,Aquaguard,15,Positive
4,KENT,15,Positive
app,Native by UC,15,Positive
best,Aquatec plus,15,Positive
better,KENT,15,Negative
broken,KENT,15,Negative
budget,AQUA D PURE,15,Positive
buy,HUL Pureit,15,Positive
call,Aquaguard,15,Positive
carbon,KENT,15,Negative
care,Livpure,15,Positive
clean,Aquaguard,15,Positive
come,Aquaguard,15,Positive
company,Livpure,15,Positive
cost,Aquaguard,15,Negative
could,PROVEN,15,Positive
counter,AO Smith,15,Positive
customer,PEORE,15,Positive
days,Livpure,15,Positive
delivery,PROVEN,15,Positive
device,HUL Pureit,15,Positive
don't,HUL Pureit,15,Negative
excellent,AQUA D PURE,15,Positive
faber,Faber,15,Negative
filters,RAMA,15,Positive
free,KENT,15,Positive
go,Kinsco,15,Positive
go,Livpure,15,Positive
last,Aquaguard,15,Positive
last,KENT,15,Negative
livpure,Livpure,15,Negative
loaded,Kinsco,15,Positive
loaded,Livpure,15,Negative
media,Kinsco,15,Positive
media,Livpure,15,Negative
media,Livpure,15,Positive
months,Havells,15,Negative
motor,KENT,15,Negative
much,Havells,15,Positive
much,HUL Pureit,15,Positive
much,KENT,15,Positive
multiple,Aquaguard,15,Negative
nice,Native by UC,15,Positive
one,AO Smith,15,Positive
overall,HUL Pureit,15,Positive
part,KENT,15,Negative
parts,KENT,15,Positive
person,KENT,15,Negative
please,KENT,15,Positive
products,KENT,15,Negative
prompt,HUL Pureit,15,Positive
quality,AQUA FRISCH,15,Positive
quality,PROVEN,15,Negative
received,Aquaguard,15,Negative
recommend,KENT,15,Negative
request,KENT,15,Negative
response,KENT,15,Negative
ro,HUL Pureit,15,Negative
service,V-Guard,15,Negative
services,Aquaguard,15,Negative
since,Livpure,15,Positive
stop,Aquaguard,15,Negative
tap,HUL Pureit,15,Negative
tap,KENT,15,Negative
tastes,AO Smith,15,Positive
technician,Livpure,15,Negative
use,Livpure,15,Positive
v,V-Guard,15,Positive
water,Aquadpure,15,Positive
well,V-Guard,15,Positive
year,Havells,15,Negative
,Livpure,14,Positive
,PROVEN,14,Positive
1,Livpure,14,Negative
2,HUL Pureit,14,Negative
2,Kinsco,14,Positive
2,Livpure,14,Positive
4,Aquaguard,14,Negative
able,Aquaguard,14,Negative
additional,KENT,14,Negative
also,HUL Pureit,14,Negative
also,PEORE,14,Positive
best,RAMA,14,Positive
better,AO Smith,14,Positive
buying,KENT,14,Negative
came,Aquaguard,14,Positive
came,HUL Pureit,14,Positive
came,KENT,14,Negative
company,Aquaguard,14,Positive
company,KENT,14,Positive
company,Livpure,14,Negative
complaints,Aquaguard,14,Negative
cost,Kinsco,14,Positive
customer,AQUA D PURE,14,Positive
demo,HUL Pureit,14,Positive
done,Aquaguard,14,Negative
done,Faber,14,Positive
dont,Aquaguard,14,Positive
dont,KENT,14,Negative
easy,Aquadpure,14,Positive
far,Aquaguard,14,Positive
filter,KENT,14,Neutral
fine,KENT,14,Positive
fix,Aquaguard,14,Negative
got,KENT,14,Negative
got,Livpure,14,Negative
install,KENT,14,Positive
installation,AQUA D PURE,14,Negative
installed,Aquaguard,14,Negative
last,Aquaguard,14,Negative
last,Kinsco,14,Positive
less,KENT,14,Positive
level,Aquaguard,14,Positive
loaded,PROVEN,14,Positive
media,PROVEN,14,Positive
model,KENT,14,Negative
month,Aquaguard,14,Positive
mr,HUL Pureit,14,Positive
need,Livpure,14,Positive
nice,AQUAULTRA,14,Positive
product,AQUAULTRA,14,Negative
purchased,AO Smith,14,Positive
purchased,Aquaguard,14,Positive
purification,Aquaguard,14,Positive
purifier,V-Guard,14,Positive
quality,Kinsco,14,Negative
quality,R.K. AQUA FRESH INDIA,14,Positive
really,AQUA D PURE,14,Positive
really,Aquaguard,14,Positive
recommend,PROVEN,14,Positive
ro,PEORE,14,Positive
rs,KENT,14,Positive
satisfied,AO Smith,14,Positive
satisfied,KENT,14,Positive
say,Aquaguard,14,Negative
service,AO Smith,14,Negative
service,R.K. AQUA FRESH INDIA,14,Positive
slow,KENT,14,Negative
started,Aquaguard,14,Negative
storage,KENT,14,Positive
support,Kinsco,14,Positive
take,KENT,14,Negative
tap,AO Smith,14,Positive
taste,AQUA FRISCH,14,Positive
tds,Havells,14,Positive
tds,HUL Pureit,14,Negative
team,KENT,14,Positive
technician,Havells,14,Positive
technician,KENT,14,Positive
told,KENT,14,Negative
top,KENT,14,Positive
use,Aquaguard,14,Negative
using,RAMA,14,Positive
value,HUL Pureit,14,Positive
water,HUL Pureit,14,Neutral
water,PROVEN,14,Negative
work,KENT,14,Positive
would,Aquaguard,14,Negative
है,KENT,14,Neutral
'-,KENT,13,Positive
&,HUL Pureit,13,Positive
&,KENT,13,Positive
1,HUL Pureit,13,Negative
2023,KENT,13,Negative
already,KENT,13,Negative
aqua,Aquaguard,13,Positive
back,KENT,13,Negative
bought,KENT,13,Positive
brand,Livpure,13,Positive
buy,Havells,13,Positive
care,Livpure,13,Negative
cartridge,KENT,13,Negative
changed,KENT,13,Positive
charge,KENT,13,Negative
container,KENT,13,Negative
cost,Havells,13,Negative
cost,HUL Pureit,13,Positive
day,Livpure,13,Negative
days,PROVEN,13,Positive
defective,KENT,13,Negative
design,AO Smith,13,Positive
drop,KENT,13,Negative
even,HUL Pureit,13,Positive
excellent,Livpure,13,Positive
excellent,RAMA,13,Positive
extra,Aquaguard,13,Positive
family,PROVEN,13,Positive
filter,AQUA D PURE,13,Positive
