asin,sales,date
B0CYCH2NH4,0,17-04-2024
B09RWWB9PP,79147,17-04-2024
B0CJRQN583,20631,17-04-2024
B0CW977RVK,0,17-04-2024
B09V88HC72,131199,17-04-2024
B0C1F7YDJT,138446,17-04-2024
B07DGX6R4R,11625,17-04-2024
B0CYPPVS37,0,17-04-2024
B0CC995K9P,112700,17-04-2024
B0BPPLN2BK,114912,17-04-2024
B08RWNVD7T,1908739,17-04-2024
B0CT2SR5MG,0,17-04-2024
B0CNZZ3Y4C,47763,17-04-2024
B0CP5TQMBY,112887,17-04-2024
B0CKW1H2NJ,32777,17-04-2024
B08PWNT7S2,24300,17-04-2024
B0CJVJ5C5C,0,17-04-2024
B09Y5GQ64Q,58800,17-04-2024
B0B6GMZ3DX,25935,17-04-2024
B0CTMPBW5Z,7245,17-04-2024
B0CYLQZMKG,0,17-04-2024
B0B9RVM9JJ,32759,17-04-2024
B09VT4668P,20493,17-04-2024
B0C8Z1NX68,9891,17-04-2024
B09GLV4TQR,3289,17-04-2024
B0CD1NHV23,23782,17-04-2024
B0BT7HNK2H,23529,17-04-2024
B0CQRJXZLK,3850,17-04-2024
B09PN1BGZK,3058,17-04-2024
B0CYTCD1YV,0,17-04-2024
B0CWLN4LV5,0,17-04-2024
B0943JQF6V,49950,17-04-2024
B0C4FLYMXC,802218,17-04-2024
B0CLV5HTB2,4998,17-04-2024
B0CJJDZZPZ,16716,17-04-2024
B0B564NLG5,6578,17-04-2024
B09M89TNGM,12299,17-04-2024
B0BY2PWDFQ,484473,17-04-2024
B0BF57RN3K,835257,17-04-2024
B0B854R7NS,293433,17-04-2024
B0CK28YBZ3,0,17-04-2024
B0B5LVS732,320133,17-04-2024
B096VF5YYF,8337654,17-04-2024
B0BJ72WZQ7,6151842,17-04-2024
B0B6BLTGTT,13278378,17-04-2024
B0CG1X67V1,438342,17-04-2024
B0C497MSQN,9897081,17-04-2024
B096VF1PJ8,5287707,17-04-2024
B0CPLPYPCL,22820045,17-04-2024
B0CGTZ7CW9,3661708,02-02-2024
B09HN6QB25,1168458,17-04-2024
B0CH8BY8DG,383744,17-04-2024
B0BRQFF4HN,2953044,17-04-2024
B0C496V772,7662801,17-04-2024
